Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.328e+00,0.736,0.728,0.222,0.21
-4.326e+00,0.736,0.744,0.23,0.25
-4.324e+00,0.736,0.728,0.234,0.21
-4.322e+00,0.736,0.744,0.226,0.25
-4.320e+00,0.736,0.728,0.226,0.21
-4.318e+00,0.736,0.744,0.238,0.254
-4.316e+00,0.736,0.728,0.238,0.21
-4.315e+00,0.736,0.752,0.23,0.25
-4.313e+00,0.736,0.728,0.234,0.21
-4.311e+00,0.736,0.752,0.238,0.254
-4.309e+00,0.736,0.728,0.234,0.21
-4.307e+00,0.736,0.752,0.23,0.254
-4.305e+00,0.744,0.728,0.234,0.21
-4.303e+00,0.736,0.752,0.23,0.254
-4.301e+00,0.736,0.728,0.23,0.214
-4.299e+00,0.736,0.752,0.234,0.254
-4.297e+00,0.736,0.728,0.234,0.214
-4.295e+00,0.744,0.752,0.234,0.254
-4.293e+00,0.744,0.728,0.226,0.214
-4.291e+00,0.736,0.752,0.242,0.254
-4.290e+00,0.736,0.728,0.23,0.214
-4.288e+00,0.736,0.752,0.23,0.258
-4.286e+00,0.744,0.728,0.23,0.214
-4.284e+00,0.744,0.752,0.246,0.258
-4.282e+00,0.744,0.728,0.234,0.21
-4.280e+00,0.744,0.752,0.234,0.258
-4.278e+00,0.744,0.728,0.242,0.214
-4.276e+00,0.744,0.752,0.238,0.254
-4.274e+00,0.744,0.728,0.238,0.214
-4.272e+00,0.736,0.752,0.238,0.258
-4.270e+00,0.744,0.728,0.238,0.214
-4.268e+00,0.744,0.752,0.234,0.258
-4.267e+00,0.736,0.728,0.234,0.214
-4.265e+00,0.736,0.752,0.238,0.254
-4.263e+00,0.744,0.728,0.234,0.214
-4.261e+00,0.736,0.752,0.234,0.258
-4.259e+00,0.744,0.728,0.242,0.214
-4.257e+00,0.736,0.752,0.242,0.258
-4.255e+00,0.736,0.728,0.234,0.214
-4.253e+00,0.736,0.752,0.238,0.258
-4.251e+00,0.736,0.728,0.226,0.214
-4.249e+00,0.736,0.752,0.238,0.258
-4.247e+00,0.736,0.728,0.242,0.214
-4.245e+00,0.736,0.752,0.246,0.258
-4.243e+00,0.736,0.728,0.234,0.214
-4.242e+00,0.736,0.752,0.234,0.258
-4.240e+00,0.736,0.728,0.242,0.214
-4.238e+00,0.736,0.744,0.234,0.258
-4.236e+00,0.736,0.728,0.242,0.214
-4.234e+00,0.736,0.744,0.238,0.258
-4.232e+00,0.736,0.728,0.234,0.214
-4.230e+00,0.736,0.744,0.242,0.258
-4.228e+00,0.736,0.728,0.234,0.214
-4.226e+00,0.736,0.744,0.234,0.258
