Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.02,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.660e+00,-1.78814e-11,0.0024,1.23,1.29
-4.658e+00,-1.78814e-11,-0.0016,1.25,1.21
-4.656e+00,-1.78814e-11,0.0024,1.27,1.31
-4.654e+00,0.0008,-0.0016,1.27,1.25
-4.652e+00,0.0008,0.0024,1.29,1.33
-4.651e+00,0.0008,-0.0016,1.31,1.27
-4.649e+00,0.0008,0.0024,1.29,1.37
-4.647e+00,-1.78814e-11,-0.0016,1.33,1.29
-4.645e+00,-1.78814e-11,0.0024,1.35,1.39
-4.643e+00,-1.78814e-11,-0.0016,1.35,1.33
-4.641e+00,-1.78814e-11,0.0024,1.37,1.41
-4.639e+00,-1.78814e-11,-0.0016,1.37,1.35
-4.637e+00,-1.78814e-11,0.0016,1.39,1.43
-4.635e+00,-1.78814e-11,-0.0016,1.41,1.37
-4.633e+00,-1.78814e-11,0.0024,1.43,1.47
-4.631e+00,-1.78814e-11,-0.0016,1.43,1.39
-4.629e+00,-0.0008,0.0024,1.43,1.49
-4.627e+00,-1.78814e-11,-0.0016,1.45,1.43
-4.626e+00,-1.78814e-11,0.0024,1.49,1.51
-4.624e+00,-1.78814e-11,-0.0016,1.47,1.45
-4.622e+00,0.0016,0.0024,1.49,1.53
-4.620e+00,-1.78814e-11,-0.0016,1.49,1.47
-4.618e+00,-1.78814e-11,0.0016,1.51,1.55
-4.616e+00,-1.78814e-11,-0.0016,1.51,1.49
-4.614e+00,-1.78814e-11,0.0024,1.53,1.57
-4.612e+00,-1.78814e-11,-0.0016,1.55,1.51
-4.610e+00,-1.78814e-11,0.0024,1.55,1.59
-4.608e+00,-1.78814e-11,-0.0016,1.57,1.53
-4.606e+00,-1.78814e-11,0.0024,1.59,1.61
-4.604e+00,-1.78814e-11,-0.0016,1.59,1.55
-4.603e+00,0.0008,0.0016,1.59,1.63
-4.601e+00,-0.0008,-0.0016,1.61,1.57
-4.599e+00,0.0008,0.0024,1.63,1.65
-4.597e+00,-1.78814e-11,-0.0016,1.63,1.59
-4.595e+00,-1.78814e-11,0.0024,1.65,1.67
-4.593e+00,-1.78814e-11,-0.0016,1.65,1.61
-4.591e+00,-1.78814e-11,0.0024,1.65,1.69
-4.589e+00,0.0008,-0.0016,1.65,1.61
-4.587e+00,-1.78814e-11,0.0024,1.67,1.71
-4.585e+00,-1.78814e-11,-0.0016,1.67,1.63
-4.583e+00,0.0008,0.0024,1.69,1.71
-4.581e+00,-1.78814e-11,-0.0016,1.69,1.65
-4.579e+00,-1.78814e-11,0.0024,1.69,1.73
-4.578e+00,-1.78814e-11,-0.0016,1.69,1.65
-4.576e+00,-1.78814e-11,0.0024,1.71,1.75
-4.574e+00,-1.78814e-11,-0.0016,1.71,1.67
-4.572e+00,0.0008,0.0024,1.71,1.77
-4.570e+00,-1.78814e-11,-0.0024,1.73,1.69
-4.568e+00,-1.78814e-11,0.0024,1.75,1.77
-4.566e+00,0.0008,-0.0016,1.75,1.71
-4.564e+00,-1.78814e-11,0.0024,1.73,1.79
-4.562e+00,0.0008,-0.0016,1.75,1.71
-4.560e+00,-1.78814e-11,0.0024,1.77,1.79
-4.558e+00,-1.78814e-11,-0.0016,1.77,1.73
-4.556e+00,-1.78814e-11,0.0024,1.77,1.81
-4.555e+00,-1.78814e-11,-0.0016,1.79,1.73
-4.553e+00,0.0008,0.0016,1.79,1.81
-4.551e+00,-1.78814e-11,-0.0016,1.77,1.75
-4.549e+00,0.0008,0.0024,1.79,1.83
-4.547e+00,-1.78814e-11,-0.0016,1.79,1.75
-4.545e+00,-1.78814e-11,0.0016,1.79,1.83
-4.543e+00,-1.78814e-11,-0.0016,1.81,1.75
-4.541e+00,0.0008,0.0016,1.81,1.83
-4.539e+00,-1.78814e-11,-0.0016,1.81,1.77
-4.537e+00,-1.78814e-11,0.0024,1.81,1.85
-4.535e+00,-1.78814e-11,-0.0024,1.81,1.77
-4.533e+00,-1.78814e-11,0.0016,1.81,1.85
-4.531e+00,0.0008,-0.0016,1.83,1.77
-4.530e+00,-1.78814e-11,0.0024,1.81,1.85
-4.528e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.526e+00,-1.78814e-11,0.0024,1.83,1.87
-4.524e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.522e+00,-1.78814e-11,0.0024,1.83,1.87
-4.520e+00,0.0008,-0.0024,1.83,1.79
-4.518e+00,-1.78814e-11,0.0016,1.83,1.87
-4.516e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.514e+00,-1.78814e-11,0.0024,1.83,1.87
-4.512e+00,0.0008,-0.0024,1.83,1.79
-4.510e+00,-1.78814e-11,0.0024,1.83,1.87
-4.508e+00,-1.78814e-11,-0.0024,1.83,1.79
-4.507e+00,-1.78814e-11,0.0016,1.83,1.87
-4.505e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.503e+00,-1.78814e-11,0.0024,1.83,1.87
-4.501e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.499e+00,-1.78814e-11,0.0016,1.83,1.87
-4.497e+00,-1.78814e-11,-0.0016,1.85,1.79
-4.495e+00,-1.78814e-11,0.0024,1.83,1.87
-4.493e+00,-1.78814e-11,-0.0016,1.83,1.79
-4.491e+00,-1.78814e-11,0.0024,1.81,1.87
-4.489e+00,0.0008,-0.0016,1.83,1.79
-4.487e+00,0.0008,0.0024,1.83,1.87
-4.485e+00,-1.78814e-11,-0.0016,1.83,1.77
-4.483e+00,-1.78814e-11,0.0024,1.81,1.85
-4.482e+00,-1.78814e-11,-0.0016,1.81,1.77
-4.480e+00,-1.78814e-11,0.0024,1.81,1.85
-4.478e+00,-1.78814e-11,-0.0016,1.81,1.77
-4.476e+00,-1.78814e-11,0.0024,1.81,1.85
-4.474e+00,-1.78814e-11,-0.0016,1.81,1.75
-4.472e+00,-1.78814e-11,0.0024,1.81,1.83
-4.470e+00,-1.78814e-11,-0.0016,1.81,1.75
-4.468e+00,-1.78814e-11,0.0024,1.81,1.83
-4.466e+00,-1.78814e-11,-0.0016,1.79,1.75
-4.464e+00,-1.78814e-11,0.0024,1.79,1.83
-4.462e+00,-1.78814e-11,-0.0016,1.77,1.73
-4.460e+00,-1.78814e-11,0.0024,1.77,1.81
-4.459e+00,-1.78814e-11,-0.0016,1.77,1.71
-4.457e+00,-1.78814e-11,0.0024,1.75,1.81
-4.455e+00,-1.78814e-11,-0.0016,1.75,1.71
-4.453e+00,-1.78814e-11,0.0024,1.75,1.79
-4.451e+00,0.0008,-0.0016,1.75,1.71
-4.449e+00,-1.78814e-11,0.0024,1.75,1.79
-4.447e+00,-1.78814e-11,-0.0016,1.73,1.69
-4.445e+00,-1.78814e-11,0.0024,1.73,1.77
-4.443e+00,0.0008,-0.0016,1.73,1.67
-4.441e+00,0.0008,0.0024,1.71,1.77
-4.439e+00,0.0008,-0.0016,1.69,1.67
-4.437e+00,-1.78814e-11,0.0024,1.71,1.75
-4.435e+00,-1.78814e-11,-0.0024,1.69,1.65
-4.434e+00,-1.78814e-11,0.0024,1.67,1.73
-4.432e+00,-0.0008,-0.0016,1.67,1.63
-4.430e+00,-0.0008,0.0016,1.67,1.71
-4.428e+00,0.0008,-0.0016,1.67,1.61
-4.426e+00,0.0008,0.0024,1.65,1.69
-4.424e+00,0.0008,-0.0016,1.65,1.59
-4.422e+00,-1.78814e-11,0.0016,1.63,1.69
-4.420e+00,-1.78814e-11,-0.0016,1.65,1.59
-4.418e+00,0.0008,0.0024,1.63,1.67
-4.416e+00,0.0008,-0.0016,1.63,1.57
-4.414e+00,0.0008,0.0024,1.61,1.65
-4.412e+00,-1.78814e-11,-0.0016,1.59,1.55
-4.411e+00,0.0008,0.0024,1.59,1.63
-4.409e+00,-1.78814e-11,-0.0016,1.57,1.53
-4.407e+00,-1.78814e-11,0.0024,1.57,1.61
